Month,Store,Metric,Amount (Rs Lakhs)
April 2024,DTK,store Labor Cost,3.8172
April 2024,AKA,store Labor Cost,3.1993
April 2024,HIM,store Labor Cost,3.6457
April 2024,SMR,store Labor Cost,4.2644
April 2024,DLP,store Labor Cost,3.44
April 2024,EXA,store Labor Cost,2.5886
April 2024,VRA,store Labor Cost,2.8554
April 2024,CPM,store Labor Cost,3.3822
April 2024,KTP,store Labor Cost,4.1915
April 2024,CAR,store Labor Cost,2.3032
April 2024,VEL,store Labor Cost,3.9414
April 2024,EGL,Utility Cost,0.83
April 2024,ITPL,Utility Cost,1.7105
April 2024,RMZ,Utility Cost,0.5107
April 2024,KOR,Utility Cost,1.7813
April 2024,INB,Utility Cost,0.0
April 2024,DIV,Utility Cost,1.4747
April 2024,IND,Utility Cost,2.1073
April 2024,BAG,Utility Cost,0.6722
April 2024,ECO-old,Utility Cost,0.0
April 2024,DLF,Utility Cost,0.0
April 2024,MAN,Utility Cost,0.9976
April 2024,ECW-old,Utility Cost,1.0805
April 2024,MTP,Utility Cost,0.7933
April 2024,ETV,Utility Cost,0.0
April 2024,VIR,Utility Cost,1.2933
April 2024,Tecno,Utility Cost,0.0
April 2024,ARK,Utility Cost,1.7764
April 2024,SIG,Utility Cost,0.0
April 2024,HSR,Utility Cost,2.3656
April 2024,CVR,Utility Cost,0.8753
April 2024,SJP,Utility Cost,0.0
April 2024,ORW,Utility Cost,0.9751
April 2024,EST,Utility Cost,1.624
April 2024,ORE,Utility Cost,0.0
April 2024,AUR,Utility Cost,0.0
April 2024,JPN,Utility Cost,1.9562
April 2024,JPC,Utility Cost,0.0
April 2024,PTP,Utility Cost,0.0
April 2024,SEC,Utility Cost,0.0
April 2024,SYH,Utility Cost,1.9716
April 2024,ETF,Utility Cost,0.7298
April 2024,GSC,Utility Cost,0.0
April 2024,PRI,Utility Cost,0.0
April 2024,ECN,Utility Cost,1.1868
April 2024,RGA,Utility Cost,0.8983
April 2024,KNP,Utility Cost,1.022
April 2024,KCK,Utility Cost,1.6027
April 2024,BVG,Utility Cost,1.3398
April 2024,CLA,Utility Cost,1.1629
April 2024,IBC,Utility Cost,0.87
April 2024,BTG,Utility Cost,0.0
April 2024,ECT,Utility Cost,1.632
April 2024,RRR,Utility Cost,1.0503
April 2024,SHV,Utility Cost,1.142
April 2024,DCB,Utility Cost,0.0
April 2024,VBP,Utility Cost,1.0498
April 2024,ADM,Utility Cost,1.3745
April 2024,SFC,Utility Cost,0.6444
April 2024,SCK,Utility Cost,1.3101
April 2024,SES,Utility Cost,0.9192
April 2024,JIG,Utility Cost,1.8076
April 2024,GCN,Utility Cost,1.1541
April 2024,ANN,Utility Cost,1.3171
April 2024,SKO,Utility Cost,1.6332
April 2024,JAP,Utility Cost,1.1853
April 2024,DWR,Utility Cost,0.8557
April 2024,AVK,Utility Cost,0.841
April 2024,CYG,Utility Cost,0.6978
April 2024,NSS,Utility Cost,1.1262
April 2024,GEB,Utility Cost,1.807
April 2024,ROH,Utility Cost,1.1441
April 2024,EKL,Utility Cost,1.7074
April 2024,PBF,Utility Cost,0.5596
April 2024,KBB,Utility Cost,1.3342
April 2024,IHY,Utility Cost,1.1234
April 2024,DCH,Utility Cost,0.0
April 2024,HAA,Utility Cost,0.0
April 2024,SCH,Utility Cost,1.1861
April 2024,LTP,Utility Cost,1.2879
April 2024,FSM,Utility Cost,0.3882
April 2024,GSM,Utility Cost,0.8409
April 2024,PPM,Utility Cost,0.7466
April 2024,FLM,Utility Cost,1.2289
April 2024,FDN,Utility Cost,2.5019
April 2024,DTK,Utility Cost,1.556
April 2024,AKA,Utility Cost,1.058
April 2024,HIM,Utility Cost,1.5769
April 2024,SMR,Utility Cost,1.3616
April 2024,DLP,Utility Cost,0.6364
April 2024,EXA,Utility Cost,0.9058
April 2024,VRA,Utility Cost,1.4641
April 2024,CPM,Utility Cost,0.9944
April 2024,KTP,Utility Cost,1.9556
April 2024,CAR,Utility Cost,0.85
April 2024,VEL,Utility Cost,1.2065
April 2024,EGL,Rent ,1.736
April 2024,ITPL,Rent ,6.1504
April 2024,RMZ,Rent ,2.0762
April 2024,KOR,Rent ,2.36
April 2024,INB,Rent ,0.0
April 2024,DIV,Rent ,2.5226
April 2024,IND,Rent ,2.4811
April 2024,BAG,Rent ,2.1504
April 2024,ECO-old,Rent ,0.0
April 2024,DLF,Rent ,0.0
April 2024,MAN,Rent ,2.6678
April 2024,ECW-old,Rent ,0.4071
April 2024,MTP,Rent ,1.1596
April 2024,ETV,Rent ,0.0
April 2024,VIR,Rent ,1.8906
April 2024,ARK,Rent ,1.475
April 2024,SIG,Rent ,0.0
April 2024,HSR,Rent ,2.0661
April 2024,CVR,Rent ,1.1709
April 2024,SJP,Rent ,0.0
April 2024,ORW,Rent ,4.5428
April 2024,EST,Rent ,1.642
April 2024,ORE,Rent ,0.0
April 2024,AUR,Rent ,0.0
April 2024,JPN,Rent ,4.8125
April 2024,JPC,Rent ,0.0
April 2024,PTP,Rent ,0.0
April 2024,SEC,Rent ,0.0
April 2024,SYH,Rent ,2.065
April 2024,ETF,Rent ,2.6422
April 2024,GSC,Rent ,0.0
April 2024,PRI,Rent ,0.0
April 2024,ECN,Rent ,2.6233
April 2024,RGA,Rent ,1.8585
April 2024,KNP,Rent ,1.4
April 2024,KCK,Rent ,0.3828
April 2024,BVG,Rent ,1.405
April 2024,CLA,Rent ,0.3469
April 2024,IBC,Rent ,0.7611
April 2024,BTG,Rent ,1.8177
April 2024,ECT,Rent ,1.6
April 2024,RRR,Rent ,2.0645
April 2024,SHV,Rent ,1.416
April 2024,DCB,Rent ,0.0
April 2024,VBP,Rent ,2.6727
April 2024,ADM,Rent ,4.5679
April 2024,SFC,Rent ,0.4969
April 2024,SCK,Rent ,0.441
April 2024,SES,Rent ,0.3623
April 2024,JIG,Rent ,1.45
April 2024,GCN,Rent ,2.2457
April 2024,ANN,Rent ,3.7569
April 2024,SKO,Rent ,3.3444
April 2024,JAP,Rent ,0.3791
April 2024,DWR,Rent ,0.35
April 2024,AVK,Rent ,2.4874
April 2024,CYG,Rent ,2.7767
April 2024,NSS,Rent ,0.47
April 2024,GEB,Rent ,0.9303
April 2024,ROH,Rent ,0.45
April 2024,EKL,Rent ,3.54
April 2024,PBF,Rent ,1.843
April 2024,KBB,Rent ,0.196
April 2024,IHY,Rent ,5.4928
April 2024,DCH,Rent ,0.0
April 2024,HAA,Rent ,0.0
April 2024,SCH,Rent ,2.713
April 2024,LTP,Rent ,2.0299
April 2024,FSM,Rent ,2.95
April 2024,GSM,Rent ,1.5643
April 2024,PPM,Rent ,1.6634
April 2024,FLM,Rent ,1.9
April 2024,FDN,Rent ,2.8545
