Month,Store,Metric,Amount,Percent of Net Sales
Apr 24,ECN,Gross margin,1676169.912198058,0.6751405532357996
Apr 24,ECN,store Labor Cost,261687.41813,0.1054044622597067
Apr 24,ECN,Utility Cost,118683.52,0.04780425705631211
Apr 24,ECN,CAM,43365.0,0.01746688678636238
Apr 24,ECN,Aggregator commission,306460.94,0.123438684271237
Apr 24,ECN,Marketing & advertisement,2945.63,0.001186463408843828
Apr 24,ECN,Other opex expenses,116848.9615000002,0.04706531953475198
Apr 24,RGA,Gross Sales,2457281.0,1.010553487463788
Apr 24,RGA,Net Sales,2431618.94,1.0
Apr 24,RGA,COGS (food +packaging),812990.3263773823,0.334341172049508
Apr 24,RGA,Gross margin,1618628.613622618,0.665658827950492
Apr 24,RGA,store Labor Cost,256201.091,0.1053623521290717
Apr 24,RGA,Utility Cost,89831.0,0.03694287724210604
Apr 24,RGA,CAM,26432.0,0.01087012424734609
Apr 24,RGA,Aggregator commission,428456.72,0.1762022465575959
Apr 24,RGA,Marketing & advertisement,9478.29,0.00389793394190292
Apr 24,RGA,Other opex expenses,110669.3100000001,0.04551260404313189
Apr 24,KNP,Gross Sales,2145335.0,1.017323089296113
Apr 24,KNP,Net Sales,2108804.0,1.0
Apr 24,KNP,COGS (food +packaging),806341.2304173051,0.3823689780640141
Apr 24,KNP,Gross margin,1302462.769582695,0.617631021935986
Apr 24,KNP,store Labor Cost,277641.0543,0.1316580650928204
Apr 24,KNP,Utility Cost,102200.0,0.04846348925741795
Apr 24,KNP,CAM,,0.0
Apr 24,KNP,Aggregator commission,309239.02,0.1466418974926072
Apr 24,KNP,Marketing & advertisement,182532.39,0.08655730451952862
Apr 24,KNP,Other opex expenses,155948.6095,0.07395121097076826
Apr 24,KCK,Gross Sales,4257638.0,1.000026996917781
Apr 24,KCK,Net Sales,4257523.06,1.0
Apr 24,KCK,COGS (food +packaging),1461252.847758809,0.3432166607592746
Apr 24,KCK,Gross margin,2796270.212241191,0.6567833392407254
Apr 24,KCK,store Labor Cost,381939.407134,0.08970929851734027
Apr 24,KCK,Utility Cost,160268.0,0.03764348372079047
Apr 24,KCK,CAM,0.0,0.0
Apr 24,KCK,Aggregator commission,962358.39,0.2260371526913116
Apr 24,KCK,Marketing & advertisement,85415.98,0.02006236461817308
Apr 24,KCK,Other opex expenses,163935.9660000001,0.03850500953011871
Apr 24,BVG,Gross Sales,3215484.0,1.019903146559121
Apr 24,BVG,Net Sales,3152734.66,1.0
Apr 24,BVG,COGS (food +packaging),1173856.722479184,0.3723296912272294
Apr 24,BVG,Gross margin,1978877.937520816,0.6276703087727706
Apr 24,BVG,store Labor Cost,345208.3211,0.1094948856558706
Apr 24,BVG,Utility Cost,133979.0,0.04249612303244066
Apr 24,BVG,CAM,11800.0,0.003742782464287686
Apr 24,BVG,Aggregator commission,424222.75,0.1345570736993135
Apr 24,BVG,Marketing & advertisement,34912.54,0.01107373241489342
Apr 24,BVG,Other opex expenses,153965.171,0.04883543577371652
Apr 24,CLA,Gross Sales,2947830.0,1.00086409294856
Apr 24,CLA,Net Sales,2945285.0,1.0
Apr 24,CLA,COGS (food +packaging),1115099.369972846,0.3786049125883729
Apr 24,CLA,Gross margin,1830185.630027154,0.6213950874116271
Apr 24,CLA,store Labor Cost,357698.207,0.1214477400319494
Apr 24,CLA,Utility Cost,116295.0,0.03948514320345909
Apr 24,CLA,CAM,0.0,0.0
Apr 24,CLA,Aggregator commission,636714.42,0.2161809196733084
Apr 24,CLA,Marketing & advertisement,157725.18,0.05355175475378444
Apr 24,CLA,Other opex expenses,148458.9149999998,0.05040561949013418
Apr 24,IBC,Gross Sales,1117747.0,1.025145748556235
Apr 24,IBC,Net Sales,1090329.84,1.0
Apr 24,IBC,COGS (food +packaging),405442.3607735906,0.3718529438519179
Apr 24,IBC,Gross margin,684887.4792264095,0.6281470561480821
Apr 24,IBC,store Labor Cost,237001.7138,0.2173669885068907
Apr 24,IBC,Utility Cost,87000.0,0.07979236815164115
Apr 24,IBC,CAM,0.0,0.0
Apr 24,IBC,Aggregator commission,119867.88,0.1099372644886982
Apr 24,IBC,Marketing & advertisement,8931.99,0.008192007292031922
Apr 24,IBC,Other opex expenses,89914.33849999998,0.08246526436440553
Apr 24,BTG,Gross Sales,2081367.0,1.015742055403766
Apr 24,BTG,Net Sales,2049109.8,1.0
Apr 24,BTG,COGS (food +packaging),677878.436189216,0.3308160627552589
Apr 24,BTG,Gross margin,1371231.363810784,0.6691839372447412
Apr 24,BTG,store Labor Cost,310949.249,0.1517484563296706
Apr 24,BTG,Utility Cost,0.0,0.0
Apr 24,BTG,CAM,26019.0,0.01269770902467013
Apr 24,BTG,Aggregator commission,316612.59,0.1545122618612239
Apr 24,BTG,Marketing & advertisement,17549.49,0.008564445887672785
Apr 24,BTG,Other opex expenses,106189.6570000001,0.05182233621643901
Apr 24,ECT,Gross Sales,3682962.0,1.015666521278419
Apr 24,ECT,Net Sales,3626152.8,1.0
Apr 24,ECT,COGS (food +packaging),1443724.737403505,0.398142278340699
Apr 24,ECT,Gross margin,2182428.062596495,0.601857721659301
Apr 24,ECT,store Labor Cost,479743.228,0.1323008859417066
Apr 24,ECT,Utility Cost,163201.0,0.04500665278087564
Apr 24,ECT,CAM,0.0,0.0
Apr 24,ECT,Aggregator commission,551058.5,0.1519678100713241
Apr 24,ECT,Marketing & advertisement,119769.65,0.03302939964361127
Apr 24,ECT,Other opex expenses,152317.1070000002,0.04200515405749042
Apr 24,RRR,Gross Sales,2422034.0,1.019358898330078
Apr 24,RRR,Net Sales,2376036.55,1.0
Apr 24,RRR,COGS (food +packaging),924070.8545802591,0.3889127271970034
