month,store,aggregator_commission,cam,cogs_food_pluspackaging,gross_sales,marketing_&_advertisement,net_sales,other_opex_expenses,rent,utility_cost,store_labor_cost,total_outlet_expenses,outlet_ebitda
August 2024,AVK,3.129,0.7722,8.7275,21.846,0.7863,21.481,1.2437,2.4874,0.9901,3.3822,21.5184,-0.0373999999999981
August 2024,BAG,0.973,0.413,5.61,14.4886,0.2507,14.0041,0.9852,1.6525,0.6141,3.5449,14.043400000000002,-0.039300000000002555
August 2024,BNJ,2.9931,0.14,8.201,21.2718,2.4351,20.86,1.2445,4.13,1.465,3.0925,23.7012,-2.8412000000000006
August 2024,BTG,5.6331,0.2602,11.5871,35.0757,0.0516,34.6419,1.445,2.8633,0.383,3.5949,25.8182,8.823699999999999
August 2024,BVG,5.2779,0.118,13.1273,38.9853,0.3799,38.3955,1.6076,1.405,1.1649,4.8568,27.937399999999997,10.458100000000002
August 2024,CAR,0.9964,0.693,6.6764,18.1982,1.3779,17.5437,0.8184,2.0634,0.95,2.9645,16.54,1.003700000000002
August 2024,CLA,6.5185,0.0,13.1684,33.686,0.575,33.6599,1.6216,0.3643,1.2686,3.7787,27.295099999999998,6.3648000000000025
August 2024,CPM,0.6409,0.7499,9.5785,27.2729,1.2769,26.1066,1.1059,4.0053,0.9906,4.4892,22.837200000000003,3.2693999999999974
August 2024,CVR,0.0,0.295,3.7254,11.0248,0.0569,10.4998,0.6964,1.239,0.8287,2.1635,9.0049,1.4949000000000012
August 2024,CYG,2.9189,0.9388,8.1837,24.0132,0.043,23.519,1.0544,2.7591,0.8855,3.4426,20.226,3.2929999999999993
August 2024,DCB,0.0,0.0,5.7547,14.1321,0.0177,14.1321,1.3941,0.0,0.0,3.5557,10.722199999999999,3.4099000000000004
August 2024,DCH,0.0,0.0,11.4861,26.2382,0.0177,26.1934,3.1534,0.0,0.0,3.5231,18.1803,8.013100000000001
August 2024,DIV,2.273,0.2124,6.3112,18.4775,0.2619,18.0753,1.0357,2.133,1.3546,3.9188,17.500600000000002,0.5746999999999964
August 2024,DLF,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
August 2024,DLP,1.4028,0.7514,8.8378,25.4232,0.033,24.5093,1.3586,3.1028,0.7103,4.3803,20.576999999999998,3.9323000000000015
August 2024,DSL,1.5458,0.413,5.6332,14.8425,1.3846,14.4664,0.7996,1.4861,0.7886,2.7744,14.825300000000002,-0.358900000000002
August 2024,DTK,6.6006,0.2322,15.7265,46.0215,0.2844,45.2327,1.8377,4.1335,1.6871,4.012,34.513999999999996,10.718700000000005
August 2024,DWR,7.4605,0.0,13.9903,34.1847,1.2963,34.1791,1.3714,0.3675,1.2796,3.2567,29.0223,5.156799999999997
August 2024,ECN,2.839,0.4553,8.3296,24.9961,0.0341,24.462,1.3071,2.6143,1.1131,3.6201,20.3126,4.1494
August 2024,ECO-old,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
August 2024,ECT,6.0887,0.0,14.918,42.2272,0.7,41.6484,1.9793,1.6,1.7426,4.2711,31.2997,10.348700000000001
August 2024,ECW-old,1.5947,0.2036,5.9551,16.5265,0.1774,16.0997,0.9819,1.52,1.0541,3.7593,15.246099999999998,0.8536000000000001
August 2024,EGL,0.0,0.0,5.6789,15.3629,0.1336,14.7196,1.3652,2.36,0.7386,2.8858,13.162099999999999,1.557500000000001
August 2024,EKL,10.5974,0.0,26.3698,63.4316,2.2553,62.6762,2.3074,3.54,3.62,5.6068,54.2967,8.3795
August 2024,EST,6.5679,0.3788,12.8672,38.5005,0.5513,38.1539,1.0772,1.701,1.3668,4.2869,28.797099999999997,9.356800000000003
August 2024,ETF,0.0,0.0,8.4143,22.2067,0.0943,21.1493,0.9568,4.6246,0.6793,3.2501,18.019399999999997,3.129900000000003
August 2024,ETV,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,
August 2024,EXA,4.1846,0.63,12.9801,37.0851,1.2456,36.2116,1.1057,4.627,0.8272,4.2425,29.8427,6.3688999999999965
August 2024,FDN,10.2194,0.2804,23.1998,68.2727,0.2861,67.2101,2.6257,3.2589,2.5098,5.2278,47.6079,19.602199999999996
August 2024,FLM,4.3513,0.0949,10.0532,26.8905,0.5218,26.5242,1.3638,1.9,1.2452,3.6936,23.2238,3.3004
August 2024,FSM,0.0,0.5711,8.3214,21.8988,3.3373,20.856,0.8021,3.6915,0.3968,2.5816,19.701800000000002,1.1541999999999994
August 2024,GCN,5.4471,0.7285,14.6105,31.8526,0.9771,31.5087,1.5428,2.4161,1.6479,2.9753,30.345299999999998,1.1634000000000029
August 2024,GEB,5.3258,0.563,12.3619,30.8101,0.9743,30.5048,1.6238,1.0784,2.1759,3.8807,27.983800000000002,2.5209999999999972
August 2024,GSC,0.0,0.0,6.0159,15.8592,0.0177,15.104,2.7288,0.0,0.0,3.0646,11.827000000000002,3.2769999999999975
August 2024,GSM,3.3044,0.2654,8.2719,22.104,0.4409,21.7546,0.8292,1.249,0.8279,2.9509,18.1396,3.6149999999999984
August 2024,HIM,2.6512,0.0,8.1712,23.0486,0.5981,22.5175,1.3821,1.475,1.2201,3.6502,19.1479,3.3695999999999984
August 2024,HSR,13.0274,0.0,30.2649,88.6098,0.4828,87.4923,2.7732,2.0661,2.2399,6.7916,57.6459,29.846400000000003
August 2024,IBC,1.527,0.0,5.6999,15.8325,0.3926,15.4839,0.7876,0.7611,0.8753,2.7289,12.772400000000001,2.711499999999999
August 2024,IHY,2.9172,0.4248,14.3406,41.0117,0.843,39.6757,1.4267,6.2591,1.0843,4.3019,31.597599999999996,8.078100000000003
August 2024,INB,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,
August 2024,IND,14.3862,0.0,32.4052,88.3918,2.1921,87.5453,2.938,2.4811,2.9462,8.0604,65.4092,22.1361
August 2024,ITPL,8.4983,0.0,24.0368,62.6415,1.7434,61.4026,1.8946,6.0476,1.6411,6.588,50.449799999999996,10.952800000000003
